AlertDescription,Message,LastTriggeredDateTime,TriggeredCount,EventTypeWord,Frequency,ObjectType,Caption,IP_Address,Location,Tower,Vendor,MachineType,Environment,DC,CustomerName,TimeStamp,Alert Category
TCS_Mgmt_FPK_7K_Network : Sev3 : Fabric : Interface Outbound Utilization above 80%,US Cloud : Network :  Device NA-FPK-NX7K-SW2-CLOUD-AGG2 : Interface Vlan811 : Outbound Utilization is 83 %,4/10/2019 10:33 AM,36,Triggered,30.00 m,Interface,NA-FPK-NX7K-SW2-CLOUD-AGG2,192.168.100.3,Franklin Park,Network,Cisco,Cisco Nexus 7000 Series,,US,TCS_Mgmt_FPK_7K,4/10/2019 10:33 AM,
PSB_9K : Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : PSB : Ashburn : usaspsblslg001 : File System /var is 85 %,4/10/2019 10:04 AM,8,Triggered,10.00 m,Volume,usaspsblslg001,10.18.4.14,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,PSB,4/10/2019 10:04 AM,BaNCs_Alerts
TCS_Mgmt_FPK_7K_Network : Sev3 : Fabric : Interface Outbound Utilization above 80%,US Cloud : Network :  Device NA-FPK-NX7K-SW2-CLOUD-AGG2 : Interface Vlan3307 : Outbound Utilization is 80 %,4/10/2019 10:03 AM,106,Triggered,30.00 m,Interface,NA-FPK-NX7K-SW2-CLOUD-AGG2,192.168.100.3,Franklin Park,Network,Cisco,Cisco Nexus 7000 Series,,US,TCS_Mgmt_FPK_7K,4/10/2019 10:03 AM,
TCS_Mgmt : Sev1 : Device is down,US Cloud : Sev1 : Windows : DC-Ashburn Device usaswptsc009.tcscloud.com IP Address 10.254.242.67 is Down,4/10/2019 8:55 AM,1,Triggered,0.25 m,Node,usaswptsc009.tcscloud.com,10.254.242.67,Ashburn,Windows,Unknown,Unknown,TCS Mgmt,US,TCS_Mgmt_ASH_7K,4/10/2019 8:55 AM,
PSB_9K : Sev3 : Memory Utilization above 90%,US Cloud : Sev3 : Windows : PSB : Ashburn : usaspsbwdsm001 : Memory Used is 91 %,4/10/2019 8:24 AM,5,Triggered,10.00 m,Node,usaspsbwdsm001,10.18.14.76,Ashburn,Windows,Windows,Windows 2016 Server,Production,US,PSB,4/10/2019 8:24 AM,BaNCs_Alerts
Sev2 : Major : File System Utilization above 80%,US Cloud : Sev2 : Linux : Sensata : Ashburn : AMER : stia-ebspla1.corp.sensata.com : File System /var is above 80 %,4/10/2019 8:13 AM,39,Triggered,4.00 m,Volume,stia-ebspla1.corp.sensata.com,10.100.10.41,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,4/10/2019 8:13 AM,Sensata_Alert
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : TenGigabitEthernet2/1/4 Output Errors : 1842680 errors This Hour,4/10/2019 8:03 AM,131,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,4/10/2019 8:03 AM,
PSB_9K : Sev3 : Memory Utilization above 90%,US Cloud : Sev3 : Windows : PSB : Ashburn : usaspsbwdsm001 : Memory Used is 91 %,4/10/2019 8:24 AM,5,Triggered,10.00 m,Node,usaspsbwdsm001,10.18.14.76,Ashburn,Windows,Windows,Windows 2016 Server,Production,US,PSB,4/10/2019 7:34 AM,BaNCs_Alerts
Sensata_Sev3 : CPU Utilization Virtual Servers above 90%,US Cloud : Sev3 : Windows : Sensata : Franklin Park : Virtual : stic-quspwf1 : CPU Load is 100 %,4/10/2019 7:11 AM,221,Triggered,6.00 m,Node,stic-quspwf1,10.100.65.19,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,Sensata,4/10/2019 7:11 AM,Sensata_Alert
Sensata_Sev3 : CPU Utilization Virtual Servers above 90%,US Cloud : Sev3 : Windows : Sensata : Ashburn : Virtual : SITA-QUSPWF1 : CPU Load is 100 %,4/10/2019 7:11 AM,213,Triggered,6.00 m,Node,SITA-QUSPWF1,10.100.1.19,Ashburn,Windows,Windows,Windows 2012 R2 Server,Production,US,Sensata,4/10/2019 7:11 AM,Sensata_Alert
